Blog Title,Blog Category,Data Source,Application,Asset Class,Post Date,Link to Blog
How News Sentiment Predicts Earnings Surprises,Research,News Sentiment,Alpha Generation,Equities,2024-11-15,https://www.contextanalytics-ai.com/blog/news-sentiment-earnings-surprises
Building a Long/Short Equity Factor with NLP Sentiment,Research,News Sentiment,Factor Investing,Equities,2024-10-22,https://www.contextanalytics-ai.com/blog/long-short-equity-nlp-factor
ESG Sentiment vs. ESG Ratings: What the Data Actually Shows,Research,ESG Sentiment,ESG Investing,Multi-Asset,2024-09-10,https://www.contextanalytics-ai.com/blog/esg-sentiment-vs-ratings
Earnings Call Tone Analysis: Reading Between the Lines,Research,Earnings Call Analytics,Fundamental Research,Equities,2024-08-05,https://www.contextanalytics-ai.com/blog/earnings-call-tone-analysis
Alternative Data for Fixed Income: Sentiment Signals in Credit Markets,Research,News Sentiment,Credit Research,Fixed Income,2024-07-18,https://www.contextanalytics-ai.com/blog/alternative-data-fixed-income
How Bridgewise AI Rates Stocks: A Methodology Deep Dive,Product,Bridgewise Equity Ratings,Portfolio Construction,Equities,2024-12-01,https://www.bridgewise.com/blog/methodology-deep-dive
Bridgewise vs. Analyst Consensus: Who Gets It Right?,Research,Bridgewise Equity Ratings,Stock Selection,Equities,2024-11-05,https://www.bridgewise.com/blog/bridgewise-vs-analyst-consensus
Social Media Signals and Market Volatility,Research,Social Sentiment,Risk Management,Multi-Asset,2024-10-14,https://www.contextanalytics-ai.com/blog/social-signals-market-volatility
Integrating Sentiment Data into Quant Models: A Practical Guide,How-To,News Sentiment,Quantitative Research,Equities,2024-09-25,https://www.contextanalytics-ai.com/blog/integrating-sentiment-quant-models
The ESG Sentiment Edge in Fixed Income Portfolios,Research,ESG Sentiment,ESG Investing,Fixed Income,2024-08-20,https://www.contextanalytics-ai.com/blog/esg-sentiment-fixed-income
Options Flow Intelligence: Detecting Institutional Activity,Research,Options Flow,Trading Signals,Equities,2024-07-30,https://www.contextanalytics-ai.com/blog/options-flow-institutional
SEC Filing NLP: Finding Risk Signals Before the Market Does,Research,SEC Filing Analytics,Risk Management,Equities,2024-06-15,https://www.contextanalytics-ai.com/blog/sec-filing-nlp-risk-signals
How RIAs Are Using AI Ratings to Scale Research,Case Study,Bridgewise Equity Ratings,Portfolio Management,Equities,2024-12-10,https://www.bridgewise.com/blog/rias-ai-ratings-scale-research
Thematic Sentiment: Tracking AI and Tech Narratives in the Market,Research,Thematic Signals,Thematic Investing,Equities,2024-11-28,https://www.contextanalytics-ai.com/blog/thematic-sentiment-ai-tech
Backtesting Sentiment-Based Strategies: Common Pitfalls,How-To,News Sentiment,Quantitative Research,Equities,2024-10-08,https://www.contextanalytics-ai.com/blog/backtesting-sentiment-strategies
